Company_Names,Cars_Names,Engines,cc_capacity,horsepower,top_speed_kmh,perf_0_100_s,price,Fuel_Types,seats,torque_nm
Porsche,Taycan Cross Turismo GTS,Dual Electric Motors,93.4,590.0,250.0,3.8,139400.0,Electric,4.0,620.0
Porsche,Taycan Sport Turismo Base,Dual Electric Motors,79.2,375.0,230.0,5.4,90500.0,Electric,4.0,500.0
Porsche,Taycan Sport Turismo GTS,Dual Electric Motors,93.4,590.0,250.0,3.7,136700.0,Electric,4.0,620.0
Porsche,Taycan Turbo S Cross Turismo,Dual Electric Motors,93.4,750.0,260.0,2.9,190000.0,Electric,4.0,1050.0
Porsche,911 Carrera Base,3.0L Twin-Turbo Flat-6,2981.0,379.0,293.0,4.2,106100.0,Petrol,4.0,450.0
Porsche,911 Carrera S Cabriolet,3.0L Twin-Turbo Flat-6,2981.0,443.0,304.0,3.9,129900.0,Petrol,4.0,530.0
Porsche,911 Carrera 4,3.0L Twin-Turbo Flat-6,2981.0,379.0,293.0,4.4,113300.0,Petrol,4.0,450.0
Porsche,911 Carrera 4 GTS,3.0L Twin-Turbo Flat-6,2981.0,473.0,311.0,3.3,137000.0,Petrol,4.0,570.0
Porsche,911 Targa 4 GTS,3.0L Twin-Turbo Flat-6,2981.0,473.0,307.0,3.5,157300.0,Petrol,4.0,570.0
Porsche,911 Turbo Cabriolet,3.8L Twin-Turbo Flat-6,3745.0,572.0,320.0,2.9,184100.0,Petrol,4.0,750.0
Porsche,911 Turbo S Coupe,3.8L Twin-Turbo Flat-6,3745.0,640.0,330.0,2.7,207000.0,Petrol,4.0,800.0
Porsche,911 GT3 Touring,4.0L Naturally Aspirated Flat-6,3996.0,502.0,318.0,3.9,170000.0,Petrol,2.0,470.0
Porsche,911 GT3 RS Clubsport,4.0L Naturally Aspirated Flat-6,3996.0,525.0,296.0,3.2,223800.0,Petrol,2.0,465.0
Porsche,911 Dakar Limited Edition,3.0L Twin-Turbo Flat-6,2981.0,473.0,240.0,3.4,222000.0,Petrol,4.0,570.0
Porsche,911 Carrera GTS Lightweight,3.0L Twin-Turbo Flat-6,2981.0,473.0,311.0,3.2,145300.0,Petrol,4.0,570.0
Porsche,911 Targa 4 Lightweight,3.0L Twin-Turbo Flat-6,2981.0,379.0,289.0,4.3,135500.0,Petrol,4.0,450.0
Porsche,911 Turbo Exclusive Series,3.8L Twin-Turbo Flat-6,3745.0,607.0,330.0,2.9,258000.0,Petrol,4.0,750.0
Porsche,911 GT2 RS,3.8L Twin-Turbo Flat-6,3745.0,700.0,340.0,2.8,293200.0,Petrol,2.0,750.0
Porsche,911 GT3 Cup,4.0L Naturally Aspirated Flat-6,3996.0,510.0,290.0,3.4,245000.0,Petrol,1.0,470.0
Porsche,911 GT4 RS,4.0L Naturally Aspirated Flat-6,3996.0,500.0,315.0,3.4,222000.0,Petrol,2.0,450.0
Porsche,911 RSR (Motorsport Edition),4.2L Naturally Aspirated Flat-6,4194.0,515.0,296.0,3.1,750000.0,Petrol,1.0,480.0
Porsche,911 Sport Turismo,3.0L Twin-Turbo Flat-6,2981.0,379.0,293.0,4.4,116000.0,Petrol,4.0,450.0
Porsche,911 Turbo Cabriolet Lightweight,3.8L Twin-Turbo Flat-6,3745.0,572.0,318.0,3.0,191300.0,Petrol,4.0,750.0
Porsche,911 Dakar Sport,3.0L Twin-Turbo Flat-6,2981.0,473.0,240.0,3.5,233000.0,Petrol,4.0,570.0
Tata Motors,Tiago,1.2L Revotron 3-cylinder Petrol,1199.0,86.0,170.0,13.0,8200.0,Petrol,5.0,113.0
Tata Motors,Tiago EV,Permanent Magnet Synchronous,24.0,74.0,120.0,5.7,11000.0,Electric,5.0,114.0
Tata Motors,Altroz,1.2L Revotron Petrol / 1.5L Diesel,1199.0,87.5,170.0,12.0,10400.0,Petrol/Diesel,5.0,-43.5
Tata Motors,Altroz DCA,1.2L Revotron 3-cylinder Petrol,1199.0,86.0,170.0,12.5,11300.0,Petrol,5.0,113.0
Tata Motors,Altroz iTurbo,1.2L Turbocharged Petrol,1199.0,110.0,180.0,10.0,12000.0,Petrol,5.0,140.0
Tata Motors,Altroz CNG,1.2L Revotron Bi-Fuel,1199.0,86.0,165.0,12.0,11800.0,CNG/Petrol,5.0,113.0
Tata Motors,Tiago NRG,1.2L Revotron 3-cylinder Petrol,1199.0,86.0,170.0,13.5,9200.0,Petrol,5.0,113.0
Tata Motors,Nano GenX,624cc MPFI,624.0,37.0,105.0,29.0,4000.0,Petrol,4.0,51.0
Tata Motors,Indica eV2,1.4L CR4 Diesel,1396.0,70.0,155.0,16.0,6200.0,Diesel,5.0,140.0
Tata Motors,Indica V2 Xeta,1.2L MPFI Petrol,1193.0,65.0,140.0,16.0,5000.0,Petrol,5.0,100.0
Tata Motors,Tigor,1.2L Revotron 3-cylinder Petrol,1199.0,86.0,170.0,13.0,9400.0,Petrol,5.0,113.0
Tata Motors,Tigor EV,Permanent Magnet Synchronous,26.0,74.0,120.0,5.7,14500.0,Electric,5.0,114.0
Tata Motors,Zest,1.3L Quadrajet Diesel / 1.2L Revotron Petrol,1248.0,82.5,165.0,15.0,8700.0,Diesel/Petrol,5.0,165.0
Tata Motors,Indigo eCS,1.4L CR4 Diesel,1396.0,70.0,155.0,16.5,6500.0,Diesel,5.0,140.0
Cadillac,Escalade,6.2L V8 Gasoline,6200.0,420.0,210.0,6.8,79295.0,Petrol,7.0,624.0
Tata Motors,Indigo Marina,1.4L CR4 Diesel / 1.4L Petrol,1396.0,77.5,150.0,17.0,8300.0,Diesel/Petrol,5.0,125.0
Tata Motors,Manza,1.3L Quadrajet Diesel / 1.4L Petrol,1248.0,82.5,160.0,14.0,9000.0,Diesel/Petrol,5.0,157.5
Tata Motors,Indigo LX,1.4L CR4 Diesel,1396.0,70.0,150.0,17.0,7000.0,Diesel,5.0,140.0
Tata Motors,Indigo GLX,1.4L MPFI Petrol,1396.0,85.0,160.0,15.0,7200.0,Petrol,5.0,115.0
Cadillac,Escalade ESV,6.2L V8 Gasoline,6200.0,420.0,205.0,6.9,82295.0,Petrol,7.0,624.0
Tata Motors,Nexon,1.2L Turbo Petrol / 1.5L Diesel,1199.0,114.0,180.0,10.0,14000.0,Petrol/Diesel,5.0,-45.0
Tata Motors,Nexon EV Max,Permanent Magnet Synchronous,40.5,143.0,140.0,9.0,25000.0,Electric,5.0,250.0
Tata Motors,Harrier,2.0L Kryotec Turbocharged Diesel,1956.0,168.0,180.0,11.0,23000.0,Diesel,5.0,350.0
Tata Motors,Safari,2.0L Kryotec Turbocharged Diesel,1956.0,168.0,180.0,11.0,25500.0,Diesel,7.0,350.0
Tata Motors,Punch,1.2L Revotron Petrol,1199.0,86.0,160.0,16.0,10500.0,Petrol,5.0,113.0
Tata Motors,Hexa,2.2L Varicor Diesel,2179.0,154.0,180.0,12.0,20000.0,Diesel,7.0,400.0
Tata Motors,Aria,2.2L Dicor Diesel,2179.0,138.0,162.0,13.0,19000.0,Diesel,7.0,320.0
Tata Motors,Sumo Gold,3.0L CR4 Diesel,2956.0,85.0,125.0,17.6,15000.0,Diesel,7.0,250.0
Tata Motors,Sumo Grande,2.2L Dicor Diesel,2179.0,118.0,140.0,15.0,16500.0,Diesel,7.0,250.0
Tata Motors,Nexon EV Prime,Permanent Magnet Synchronous,30.2,129.0,120.0,9.4,22000.0,Electric,5.0,245.0
Tata Motors,Tiago EV,Permanent Magnet Synchronous,24.0,74.0,120.0,5.7,11000.0,Electric,5.0,114.0
Tesla,Model S,Dual Electric Motors,100.0,670.0,250.0,3.1,88490.0,Electric,5.0,967.0
Tesla,Model S Plaid,Tri Electric Motors,100.0,1020.0,322.0,2.1,108490.0,Electric,5.0,1400.0
Tesla,Model 3,Single Electric Motor (RWD),60.0,283.0,225.0,5.8,40240.0,Electric,5.0,420.0
Tesla,Model 3 Performance,Dual Electric Motors (AWD),82.0,450.0,261.0,3.1,53240.0,Electric,5.0,660.0
Tesla,Model X,Dual Electric Motors (AWD),100.0,670.0,250.0,3.8,98490.0,Electric,7.0,967.0
Tesla,Model X Plaid,Tri Electric Motors,100.0,1020.0,262.0,2.6,113490.0,Electric,6.0,1400.0
Tesla,Model Y,Single Electric Motor (RWD),75.0,346.0,217.0,5.0,47490.0,Electric,5.0,498.0
Tesla,Model Y Long Range,Dual Electric Motors (AWD),82.0,384.0,217.0,4.8,50490.0,Electric,5.0,559.0
Tesla,Cybertruck,Tri Electric Motors,200.0,800.0,209.0,2.9,69900.0,Electric,6.0,1355.0
Tesla,Roadster 2,Quad Electric Motors,200.0,1288.0,402.0,1.9,200000.0,Electric,4.0,10000.0
Jeep,Wrangler,3.6L V6 Pentastar Gasoline,3600.0,285.0,180.0,6.8,35195.0,Petrol,4.0,353.0
Jeep,Wrangler Rubicon,2.0L Turbo I4 Gasoline,2000.0,270.0,180.0,7.1,42100.0,Petrol,4.0,400.0
